FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;NUMBER OF SPANS; ; ;1044/349;1-2;N
2 M;LENGTH OF LONGEST SPAN IN METRES; ; ;1657/015;1-3;N
