FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;DATA ENTRY;1;DE; ; ;1348/001;2;N;R
2 M;EMITTER SPOT NUMBER;4;SPOT; ; ;2384/001;5;N;R
3 O;TRANSMIT RADIO FREQUENCY;10;RF-TRANSMIT; ; ;2383/007;3-11;ANS;R
4 O;RADIO FREQUENCY BANDWIDTH;22;RF-BANDWIDTH; ; ;2383/008;3-11;ANS;R
5 O;SIGNAL TYPE;35;TYPE; ; ;1181/007;1;A;R
6 O;RADIO/RADAR FUNCTION;40;FCTN; ; ;1471/001;2;A;R
