FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;UNIT; ; ;1022/057;1-30;X
2 O;SUBORDINATE UNIT DESIGNATOR; ; ;1028/030;1-30;X
3 M;SHORAD SENSOR TYPE; ; ;1434/002;2-5;A
4 M;NUMBER OF SHORAD SENSORS; ; ;1044/113;1-2;N
