FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;GROUNDED MATERIAL WEIGHT IN METRIC TONS; ; ;1050/004;1-4;N
2 O;GROUNDED MATERIAL VOLUME IN CUBIC METRES; ; ;1063/005;1-4;N
3 O;WEIGHT OF THE LARGEST ITEM IN METRIC TONS; ; ;1050/005;1-3;N
