FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;UNIT; ; ;1022/057;1-30;X
* 2 M;SONAR FREQUENCY IN KILOHERTZ; ; ;1066/003;3-4;NS
