FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
* 1 M;DESIGNATED ALTITUDE PURPOSE; ; ;1249/001;2-9;AB
* 2 M;MARITIME ALTITUDE IN HUNDREDS OF FEET; ;A;2164/001;6;AN
;FLIGHT LEVEL; ;B;2129/001;5;AN
;AIR SPACE BAND; ;C;2294/001;11-13;ANS
