FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;GENERAL LOAD INDICATOR; ; ;1173/010;3-6;A
* 2 C;NATO STANDARD FUEL TYPE;FUEL;A;1172/001;3-5;AN
;WATER TYPE;WATER;B;1513/001;3-10;A
;TYPE OF SOLID CARGO/AMMUNITION;TSCA;C;1534/002;1-30;X
* 3 C;QUANTITY AND UNIT OF MEASUREMENT OF CARGO TYPES; ; ;2327/001;5-7;ANS
