FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TEXT INDICATOR; ; ;1009/001;1-61;X
2 M;FREE TEXT; ; ;1006/001;1-99;X
