FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;BROADCAST CALL SIGN; ; ;1129/004;1-6;AN
2 M;FIRST SERIAL NUMBER COPIED; ; ;1012/081;3;N
3 M;LAST SERIAL NUMBER COPIED; ; ;1012/082;3;N
4 M;NUMBER OF MESSAGES SENT; ; ;1044/121;1-2;N
5 M;NUMBER OF MESSAGES RECEIVED; ; ;1044/125;1-2;N
6 M;RELIABILITY; ; ;1064/007;1-3;N
7 O;COMMUNICATION LOW RELIABILITY CAUSE; ; ;1481/001;2-3;A
8 O;FREQUENCY USED; ; ;2064/007;3-14;ANS
