FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOWER STRENGTH LIMIT; ; ;1044/333;1-4;N
2 M;UPPER STRENGTH LIMIT; ; ;1044/334;1-4;N
