FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ACE UIC; ; ;2141/005;7-9;AN
2 M;UNIT EFFECTIVENESS PERCENTAGE; ; ;1064/008;1-3;N
