FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LOWER LENGTH LIMIT IN METRES, 10-9999; ;A;1657/011;2-4;N
;LOWER RADIUS LIMIT IN METRES;LRAD;B;1580/004;2-4;N
2 M;UPPER LENGTH LIMIT IN METRES, 10-9999; ;A;1657/010;2-4;N
;UPPER RADIUS LIMIT IN METRES;URAD;B;1580/003;2-4;N
3 C;LOWER WIDTH LIMIT IN METRES, 10-9999; ; ;1658/011;2-4;N
4 C;UPPER WIDTH LIMIT IN METRES, 10-9999; ; ;1658/010;2-4;N
