FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;ETHNIC GROUP; ; ;1646/001;1-54;X
2 M;RELIGION; ; ;1016/001;4-31;ABS
3 M;SPECIALIZED KNOWLEDGE; ; ;1090/001;3;A
* 4 M;LANGUAGE; ; ;1647/001;1-54;X
* 5 M;LANGUAGE PROFICIENCY; ; ;1648/002;2-4;A
