FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;LAST BROADCAST NUMBER RECEIVED; ; ;2308/002;8-9;ANS
2 M;FIRST BROADCAST NUMBER RECEIVED; ; ;2308/003;8-9;ANS
