FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;FIRE DEMOLITION IF ENEMY IN ACT OF CAPTURING TARGET; ; ;1027/027;2-3;A
* 2 M;DEMOLITION ORDER TO THE DEMOLITION GUARD; ; ;1094/002;2;A
