FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 C;LENGTH IN METRES, 1-9999; ; ;1657/005;1-4;N
2 C;DEPTH (FRONT TO BACK) IN METRES; ; ;1052/006;1-4;N
3 C;MINEFIELD DENSITY; ; ;1254/001;3;NS
4 C;DENSITY MEASURE; ; ;1702/001;1;A
5 C;NUMBER OF MINE ROWS; ; ;1044/352;1-2;N
