FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TERRAIN TYPE; ; ;1289/001;3-13;AB
2 O;LENGTH IN METRES, 1-9999; ; ;1657/005;1-4;N
3 O;WIDTH IN METRES, 1-9999; ; ;1658/003;1-4;N
4 O;MAJOR AXIS OF TERRAIN IN DEGREES; ; ;2065/018;4;AN
5 O;TERRAIN SHAPE; ; ;1259/004;2-11;ABS
6 O;TYPE OF MAJOR SURFACE; ; ;1289/004;4-6;A
* 7 O;VEGETATION TYPE; ; ;1206/001;3-9;AB
