FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;DTG OF COMPLETION, 4 DIGIT YR; ; ;2033/024;14;AN
2 O;GENERAL STOPPING POWER; ; ;1427/005;3-6;A
3 O;MINEFIELD DENSITY; ; ;1254/001;3;NS
