Structure;1-1;1-1;1-1;1-1
FFIRN/FUDN;1648/3;1648/4;1648/5;1648/6
FUD Name;LISTENING LANGUAGE PROFICIENCY LEVEL;SPOKEN LANGUAGE PROFICIENCY LEVEL;READING LANGUAGE PROFICIENCY LEVEL;WRITING LANGUAGE PROFICIENCY LEVEL
