FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DIRECTION OF MOVEMENT (COMPASS POINT);1-3;Individual;;1.0;In Service;03 Dec 07
2;CARDINAL POINT;1-1;Individual;;1.0;In Service;03 Dec 07
3;DIRECTION OF MOVEMENT;1-2;Individual;;1.0;In Service;03 Dec 07
4;HEADING;1-3;Individual;;1.0;In Service;03 Dec 07
5;SWELL DIRECTION CODE;2-2;Individual;DIRECTION (WIND AND SWELL) WMO CODE 9877 (TRUE DIRECTION, IN TENS OF DEGREES FROM WHICH WIND OR SWELL IS COMING).;1.0;In Service;03 Dec 07
6;ESTIMATED DIRECTION OF CURRENT (COMPASS POINT);1-3;Individual;;1.0;In Service;03 Dec 07
7;DIRECTION OF MOVEMENT FROM EVENT;1-3;Individual;;1.0;In Service;03 Dec 07
8;DIRECTION OF MOVEMENT TO EVENT;1-3;Individual;;1.0;In Service;03 Dec 07
9;ORIENTATION, INTERCARDINAL;1-2;Individual;ORIENTATION DEPICTED USING ONE OF EIGHT COMPASS POINTS.;1.0;In Service;03 Dec 07
10;MOVEMENT, INTERCARDINAL;1-2;Individual;;1.0;In Service;03 Dec 07
11;ENEMY MOVEMENT, INTERCARDINAL;1-2;Individual;INTERCARDINAL DIRECTION OF MOVEMENT OF THE ENEMY.;1.0;In Service;03 Dec 07
12;TARGET HEADING;1-3;Individual;;1.0;In Service;03 Dec 07
13;TARGET ALIGNMENT;1-3;Individual;;1.0;In Service;03 Dec 07
