Structure;1-2;1-1;2-24;
FFIRN/FUDN;1302/6;1025/2;1303/1;
FUD Name;ACTUAL IFF SIF MODES THAT HAVE IFF SIF CODES;HYPHEN;IFF SIF CODE;
