Structure;2-2;3-3;1-1;1-1;2-2;3-3;1-1;
FFIRN/FUDN;1130/4;1012/42;1130/17;1025/2;1130/4;1012/42;1130/18;
FUD Name;FLIGHT LEVEL DATA QUALIFIER;FLIGHT LEVEL NUMBER;TANKER AIRCRAFT DATA QUALIFIER;HYPHEN;FLIGHT LEVEL DATA QUALIFIER;FLIGHT LEVEL NUMBER;RECEIVER AIRCRAFT DATA QUALIFIER;
