Structure;1-5;1-1;1-5;1-1;1-2;;;
FFIRN/FUDN;1875/1;1025/2;1875/2;1025/2;1008/28;;;
FUD Name;TARGET DIMENSIONS, LENGTH;HYPHEN;TARGET DIMENSIONS, WIDTH;HYPHEN;UNIT OF LINEAR MEASUREMENT, FEET, YARDS, OR METRES;;;
