Structure;4-6;2-2;2-2;2-2;1-1;;;
FFIRN/FUDN;1204/6;1000/1;1001/1;1002/1;1003/1;;;
FUD Name;DEFEATED MINE STATUS IDENTIFIER;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;;;
