Structure;5-5;1-1;5-5;
FFIRN/FUDN;1625/30;1025/2;1625/31;
FUD Name;LINK 16 TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;LINK 16 TRACK NUMBER BLOCK, UPPER LIMIT;
