Structure;1-3;1-1;1-5;1-1;1-1;1-4;;
FFIRN/FUDN;1012/184;1053/10;1089/2;1025/2;1053/10;1089/3;;
FUD Name;Q-ROUTE NUMBER;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM START POINT;HYPHEN;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM FINISH POINT;;
