Structure;3-3;1-1;4-8;
FFIRN/FUDN;1130/44;1025/2;1128/2;
FUD Name;SEARCH ATTACK UNIT OR SURFACE ACTION GROUP QUALIFIER;HYPHEN;PHONETIC ALPHABETIC IDENTIFIER;
