FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;VEHICLE HEIGHT IN METRES, DECIMAL PERMITTED;1-5;Decimal;;1.0;In Service;03 Dec 07
3;SWELL HEIGHT IN METRES DECIMAL PERMITTED;1-4;Decimal;;1.0;In Service;03 Dec 07
4;WAVE HEIGHT IN METRES, DECIMAL PERMITTED;1-4;Decimal;;1.0;In Service;03 Dec 07
5;OBSTACLE HEIGHT IN METRES;1-2;Integer;;1.0;In Service;03 Dec 07
6;HEIGHT IN METRES, 0-999;1-3;Integer;;1.0;In Service;03 Dec 07
7;APPROXIMATE HEIGHT ABOVE GROUND IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
9;RIGHT BANK HEIGHT ABOVE WATER LEVEL IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
10;LEFT BANK HEIGHT ABOVE WATER LEVEL IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
11;HEIGHT IN METRES, 0-99.9 DECIMAL PERMITTED;1-4;Decimal;;1.0;In Service;03 Dec 07
12;HEIGHT IN METRES, 1-99;1-2;Integer;;1.0;In Service;03 Dec 07
13;HEIGHT OF PERSON IN METRES;4-4;Decimal;;1.0;In Service;03 Dec 07
14;RIGHT BANK HEIGHT ABOVE GROUND LEVEL IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
15;LEFT BANK HEIGHT ABOVE GROUND LEVEL IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
17;CARGO HEIGHT IN METRES;1-2;Integer;;1.0;In Service;03 Dec 07
