Structure;3-3;1-1;1-1;1-3;1-2;;;
FFIRN/FUDN;1023/2;1024/2;1025/2;1023/5;1008/83;;;
FUD Name;CONTEXT QUANTITY, 000-359;ANGULAR MEASUREMENT REFERENCE, TRUE;HYPHEN;CONTEXT QUANTITY, 0-999;UNITS OF LINEAR MEASUREMENT, METRES OR YARDS;;;
