Structure;2-2;1-1;2-2;1-1;2-2;1-1;;
FFIRN/FUDN;1023/14;1779/2;1023/14;1779/3;1023/14;1779/4;;
FUD Name;CONTEXT QUANTITY, 00-99;HOUR INDICATOR;CONTEXT QUANTITY, 00-99;MINUTE INDICATOR;CONTEXT QUANTITY, 00-99;SECOND INDICATOR;;
