Structure;5-5;1-1;5-5;
FFIRN/FUDN;1625/17;1025/2;1625/18;
FUD Name;LINK 4 ADDRESS BLOCK, LOWER LIMIT;HYPHEN;LINK 4 ADDRESS BLOCK, UPPER LIMIT;
