Structure;1-3;2-2;1-3;
FFIRN/FUDN;1023/3;1130/19;1012/47;
FUD Name;CONTEXT QUANTITY, 1-999;CHANNEL QUALIFIER;COMMUNICATIONS CHANNEL NUMBER;
