FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DISTANCE IN NAUTICAL MILES;1-5;Instructive;;1.0;In Service;03 Dec 07
2;DISTANCE IN NAUTICAL MILES FROM START POINT;1-5;Instructive;;1.0;In Service;03 Dec 07
3;DISTANCE IN NAUTICAL MILES FROM FINISH POINT;1-4;Instructive;;1.0;In Service;03 Dec 07
4;TRANSIT DISTANCE IN NAUTICAL MILES;1-2;Integer;;1.0;In Service;03 Dec 07
5;DISTANCE IN NAUTICAL MILES FROM A Q-ROUTE POINT;1-4;Instructive;;1.0;In Service;03 Dec 07
6;DISTANCE IN NAUTICAL MILES (0-999);1-3;Integer;;1.0;In Service;03 Dec 07
7;CAP STATION DISTANCE INDICATOR;1-10;Alphanumeric;AN INDICATOR OF THE DISTANCE IN NAUTICAL MILES OF A COMBAT AIR PATROL (CAP) STATION FROM A REFERENCE POINT, USUALLY THE CENTRE OF THE FORCE. THE LETTER 'A' REPRESENTS 50NM, 'B' 100NM AND SO ON. INTERMEDIATE DISTANCES ARE REPRESENTED BY A SINGLE LETTER CODE FOLLOWED BY 'PLUS' OR 'MINUS' AND A NUMBER OF MILES FROM 5 TO 45 IN 5-MILE INCREMENTS.;1.0;In Service;03 Dec 07
8;MAXIMUM BOTTOM BOUNCE RANGE IN NAUTICAL MILES;1-2;Integer;;1.0;In Service;03 Dec 07
9;MAXIMUM CONVERGENCE ZONE RANGE IN NAUTICAL MILES;1-2;Integer;;1.0;In Service;03 Dec 07
10;SHIPS ENDURANCE IN NAUTICAL MILES AT THE OPERATIONAL SPEED;1-7;Decimal;;1.0;In Service;03 Dec 07
11;STRAGGLERS OFFSET DISTANCE IN NAUTICAL MILES;1-5;Decimal;;1.0;In Service;03 Dec 07
13;ENDURANCE IN NAUTICAL MILES AT PLANNING SPEED;1-4;Integer;THE ENDURANCE IN NAUTICAL MILES OF THE LANDING CRAFT AT THE SPECIFIED PLANNING SPEED.;1.0;In Service;03 Dec 07
14;CAP STATION LENGTH IN NAUTICAL MILES;1-4;Integer;THE LENGTH OF THE ORBIT A COMBAT AIR PATROL TASKED UNIT OR A/C SHALL OCCUPY WHILE ON STATION.;1.0;In Service;03 Dec 07
15;GROUP TRANSIT LONGITUDINAL INTERVAL, NAUTICAL MILES;1-3;Integer;;1.0;In Service;03 Dec 07
16;SIGNAL INTERCEPT DISTANCE IN NAUTICAL MILES;1-3;Integer;THE DISTANCE BETWEEN AN OBJECT AND AN INTERCEPTED SIGNAL POSITION MEASURED IN NAUTICAL MILES.;1.0;In Service;03 Dec 07
