Structure;1-2;1-1;1-2;
FFIRN/FUDN;1044/77;1025/2;1044/78;
FUD Name;ESTIMATED COUNT OF SHIPS (FROM);HYPHEN;ESTIMATED COUNT OF SHIPS (TO);
