Structure;1-6;1-1;1-5;1-1;1-2;1-1;1-1;
FFIRN/FUDN;1592/14;1025/2;1897/1;1025/2;1008/107;1025/2;1266/2;
FUD Name;MATERIAL, GENERAL;HYPHEN;MATERIAL DEPTH;HYPHEN;UNIT OF LINEAR MEASUREMENT, FT, IN, CM, M;HYPHEN;VALIDITY;
