Structure;5-5;1-1;5-5;
FFIRN/FUDN;1625/9;1025/2;1625/10;
FUD Name;LINK 1 TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;LINK 1 TRACK NUMBER BLOCK, UPPER LIMIT;
