Structure;1-5;1-1;1-2;
FFIRN/FUDN;1023/44;1025/2;1008/46;
FUD Name;CONTEXT QUANTITY, 1-99999;HYPHEN;UNIT OF MEASUREMENT, MM, CM, M;
