Structure;3-3;1-1;3-4;
FFIRN/FUDN;1023/2;1024/2;1379/1;
FUD Name;CONTEXT QUANTITY, 000-359;ANGULAR MEASUREMENT REFERENCE, TRUE;SPEED, APPROXIMATE;
