Structure;4-5;1-2;3-3;
FFIRN/FUDN;1276/3;1023/30;1008/87;
FUD Name;VALUE CHANGE;CONTEXT QUANTITY, 1-99;UNIT OF TIME MEASUREMENT, MINUTE;
