FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DELIMITER;1-1;Individual;;1.0;In Service;03 Dec 07
2;HYPHEN;1-1;Individual;;1.0;In Service;03 Dec 07
3;DECIMAL POINT;1-1;Individual;;1.0;In Service;03 Dec 07
4;BLANK SPACE CHARACTER;1-1;Instructive;;1.0;In Service;03 Dec 07
5;LEFT PARENTHESIS;1-1;Individual;;1.0;In Service;03 Dec 07
6;RIGHT PARENTHESIS;1-1;Individual;;1.0;In Service;03 Dec 07
7;DISTANCE DELIMITER;1-1;Individual;;1.0;In Service;03 Dec 07
8;COMMA;1-1;Individual;;1.0;In Service;03 Dec 07
9;TIME DELIMITER;1-1;Individual;;1.0;In Service;03 Dec 07
