Structure;3-3;1-1;1-38;1-1;1-5;1-2;;
FFIRN/FUDN;1791/4;1025/2;1022/2;1025/2;1023/19;1008/90;;
FUD Name;BEARING FROM REFERENCE POINT IN DEGREES, TRUE;HYPHEN;REFERENCE POINT NAME;HYPHEN;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;UNIT OF MEASUREMENT, NAUTICAL MILES OR METRES;;
