Structure;2-2;1-1;6-6;7-7
FFIRN/FUDN;1710/1;1030/2;1710/2;1710/3
FUD Name;UTM GRID ZONE;LATITUDINAL HEMISPHERE;UTM 1 METRE HIGHER ORDER EASTING;UTM 1 METRE HIGHER ORDER NORTHING
