FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;VESSEL TYPE;2-8;Individual;A STANDARD DESIGNATOR USED BY NATO FORCES FOR PLANNING AND REPORTING PURPOSES TO DESCRIBE SHIPS AND OTHER WATER-BORNE VESSELS.;1.0;In Service;03 Dec 07
2;SUBMARINE TYPE;2-4;Individual;A DESIGNATOR FOR A TYPE OF VESSEL DESIGNED TO OPERATE UNDER WATER.;1.0;In Service;03 Dec 07
3;NAVAL VESSEL TYPE;2-5;Individual;A DESIGNATOR FOR A VESSEL OPERATED BY A MILITARY, AUXILIARY OR COASTGUARD SERVICE.;1.0;In Service;03 Dec 07
4;SUBMARINE ASSET TYPE;2-4;Individual;A DESIGNATOR FOR ANY SELF-PROPELLED SUBMERSIBLE WITH AT LEAST A RESIDUAL COMBAT CAPABILITY FOR USE IN MILITARY OPERATIONS.;1.0;In Service;03 Dec 07
5;MERCHANT VESSEL TYPE, CARGO CARRYING;2-4;Individual;A DESIGNATOR FOR ANY VESSEL DESIGNED OR USED PRIMARILY FOR THE COMMERCIAL TRANSPORTATION OF GOODS AND/OR PASSENGERS.;1.0;In Service;03 Dec 07
6;LANDING CRAFT TYPE;2-5;Individual;A DESIGNATOR FOR ANY VESSEL DESIGNED TO LAND PERSONNEL, VEHICLES OR OTHER EQUIPMENT ASHORE WITHOUT THE NEED FOR FIXED BERTHING FACILITIES.;1.0;In Service;03 Dec 07
7;SURFACE VESSEL TYPE;2-8;Individual;A DESIGNATOR FOR ANY TYPE OF VESSEL DESIGNED TO OPERATE ON THE SURFACE OF THE WATER.;1.0;In Service;03 Dec 07
8;PLEASURE CRAFT TYPE;2-8;Individual;A DESIGNATOR FOR ANY CRAFT DESIGNED OR USED PRIMARILY FOR RECREATIONAL ACTIVITY.;1.0;In Service;03 Dec 07
9;FISHING VESSEL TYPE;2-7;Individual;A DESIGNATOR FOR ANY VESSEL DESIGNED OR USED PRIMARILY FOR THE COMMERCIAL CATCHING, PROCESSING OR TRANSPORTING OF FISH OR FISH PRODUCTS.;1.0;In Service;03 Dec 07
10;MERCHANT VESSEL TYPE;2-4;Individual;A DESIGNATOR FOR ANY VESSEL DESIGNED OR USED PRIMARILY FOR COMMERCIAL OR SCIENCE/RESEARCH ACTIVITY.;1.0;In Service;03 Dec 07
11;SHIP TARGET TYPE;2-6;Individual;A SHIP TARGET TYPE DESCRIBED BY THE BASIC DESIGN, CONFIGURATION OR PRIMARY FUNCTION FOR WHICH IT WAS DESIGNED AND CONSTRUCTED OR CONVERTED.;1.0;In Service;03 Dec 07
12;CONTACT VESSEL TYPE;2-8;Instructive;THE TYPE DESIGNATION OF THE CONTACT VESSEL, E.G "TMP" OR "CVN".;1.0;In Service;03 Dec 07
