Structure;2-2;1-1;2-2;5-5;5-5;;;
FFIRN/FUDN;1710/1;1710/4;1710/5;1710/6;1710/7;;;
FUD Name;UTM GRID ZONE;MGRS (UTM) GRID LATITUDE BAND;MGRS (UTM) 100KM BOX;MGRS 1 METRE HIGHER ORDER EASTING;MGRS 1 METRE HIGHER ORDER NORTHING;;;
