Structure;1-2;1-1;1-7;
FFIRN/FUDN;1023/30;1025/2;1135/21;
FUD Name;CONTEXT QUANTITY, 1-99;HYPHEN;TYPE OF FREQUENCY SHIFT CONVERTER;
