FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;RADIUS IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
2;RADIUS IN METRES, 10-9999;2-4;Integer;;1.0;In Service;03 Dec 07
3;UPPER RADIUS LIMIT IN METRES;2-4;Integer;;1.0;In Service;03 Dec 07
4;LOWER RADIUS LIMIT IN METRES;2-4;Integer;;1.0;In Service;03 Dec 07
5;MINIMUM HORIZONTAL CURVE RADIUS IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
6;RADIUS IN NAUTICAL MILES;1-3;Integer;THE RADIUS IN NAUTICAL MILES OF A CIRCLE, CIRCULAR AREA OR SPHERICAL VOLUME.;1.0;In Service;03 Dec 07
7;FRONT RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE FRONT SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
8;REAR RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE REAR SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
9;STARBOARD RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE STARBOARD OR RIGHT-HAND SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
10;PORT RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE PORT OR LEFT-HAND SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
11;BOTTOM RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE BOTTOM SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
12;TOP RADIUS IN METRES;1-3;Integer;THE RADIUS IN METRES OF A CIRCULAR AREA OR SPHERICAL VOLUME EXTENDING FROM THE TOP SIDE OF A VEHICLE OR OTHER OBJECT.;1.0;In Service;03 Dec 07
13;RADIUS IN METRES, 1-99999;1-5;Integer;THE RADIUS OF A CIRCULAR AREA OR SPHERICAL VOLUME MEASURED IN METRES, FROM 1 THROUGH 99999.;1.0;In Service;03 Dec 07
14;RADIUS OF INNER ANNULUS IN NAUTICAL MILES;1-3;Integer;THE RADIUS OF THE INNER ANNULUS IN NAUTICAL MILES;1.0;In Service;03 Dec 07
