Structure;4-4;1-1;5-5;
FFIRN/FUDN;1012/39;1155/1;1012/43;
FUD Name;WORLD AREA NUMBER;PROGRAM INDICATOR, BE NUMBER;INSTALLATION IDENTIFICATION SERIAL NUMBER;
