Structure;2-3;1-1;3-3;3-4
FFIRN/FUDN;1130/8;1025/2;1255/5;1130/9
FUD Name;ALTITUDE BASE REFERENCE POINT QUALIFIER;HYPHEN;MAXIMUM ALTITUDE, HUNDREDS OF FEET;ALTITUDE REFERENCE QUALIFIER
