Structure;10-11;1-1;2-2;2-2;2-2;1-1;3-3;
FFIRN/FUDN;1205/1;1025/2;1000/1;1001/1;1002/1;1003/1;1004/1;
FUD Name;MINEFIELD CONDITION;HYPHEN;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;MONTH NAME, ABBREVIATED;
