Structure;3-3;1-12;1-5;
FFIRN/FUDN;1439/1;1022/8;1089/1;
FUD Name;DIRECTION IN DEGREES, TRUE;REFERENCE POINT NAME, 12 CHARACTERS;DISTANCE IN NAUTICAL MILES;
