Structure;4-4;1-1;4-4;
FFIRN/FUDN;1625/21;1025/2;1625/22;
FUD Name;LINK 11 11B TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;LINK 11 11B TRACK NUMBER BLOCK, UPPER LIMIT;
