FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;PRIMARY ORDER OF BATTLE ASSOCIATION;1-1;Individual;DESCRIBES THE PRIMARY TYPE OF ORDER OF BATTLE TO WHICH A UNIT OR EQUIPMENT BELONGS. [REF: STANAG 2097, 2438; AINTP-3];1.0;In Service;03 Dec 07
3;SECONDARY ORDER OF BATTLE ASSOCIATION;1-1;Individual;DESCRIBES THE SECONDARY TYPE OF ORDER OF BATTLE TO WHICH A UNIT OR EQUIPMENT BELONGS. [REF: STANAGS 2097, 2438; AINTP-3];1.0;In Service;03 Dec 07
5;ORDER OF BATTLE INDICATOR;1-1;Individual;INDICATES THE TYPE OF ORDER-OF-BATTLE TO WHICH A UNIT OR EQUIPMENT BELONGS.;1.0;In Service;03 Dec 07
