Structure;3-3;1-1;1-1;1-2;3-3;;;
FFIRN/FUDN;1043/10;1024/1;1025/2;1023/34;1008/5;;;
FUD Name;COURSE IN DEGREES;ANGULAR MEASUREMENT REFERENCE;HYPHEN;CONTEXT QUANTITY, 0-99;UNIT OF SPEED VELOCITY MEASUREMENT;;;
