Structure;1-1;1-1;4-4;1-1;5-5;;;
FFIRN/FUDN;1343/9;1025/2;1029/5;1025/2;1012/271;;;
FUD Name;BIOGRAPHIC INDICATOR;HYPHEN;RECORD ORIGINATOR;HYPHEN;BIOGRAPHIC ACCESSION NUMBER;;;
