Structure;3-3;3-3;1-1;3-3;3-3;;;
FFIRN/FUDN;1043/17;1043/18;1025/2;1218/5;1218/6;;;
FUD Name;LEFT AREA BOUNDARY IN DEGREES;RIGHT AREA BOUNDARY IN DEGREES;HYPHEN;INNER RANGE IN HUNDREDS OF YARDS;OUTER RANGE IN HUNDREDS OF YARDS;;;
