Structure;1-3;2-3;;
FFIRN/FUDN;1023/3;1008/44;;
FUD Name;CONTEXT QUANTITY, 1-999;UNIT OF TIME MEASUREMENT, HOURS, MINUTES, OR SECONDS;;
