FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;CONTEXT QUANTITY, 000-359;3-3;Integer;;1.0;In Service;03 Dec 07
3;CONTEXT QUANTITY, 1-999;1-3;Integer;;1.0;In Service;03 Dec 07
4;CONTEXT QUANTITY, 0-99999;1-5;Integer;;1.0;In Service;03 Dec 07
5;CONTEXT QUANTITY, 0-999;1-3;Integer;;1.0;In Service;03 Dec 07
6;CONTEXT QUANTITY, 0000-6400;4-4;Integer;;1.0;In Service;03 Dec 07
7;CONTEXT QUANTITY, 0-999999;1-6;Integer;;1.0;In Service;03 Dec 07
8;CONTEXT QUANTITY, 2-99;1-2;Integer;;1.0;In Service;03 Dec 07
9;CONTEXT QUANTITY, 00.0-90.0;4-4;Decimal;;1.0;In Service;03 Dec 07
10;CONTEXT QUANTITY, 0-23;1-2;Integer;;1.0;In Service;03 Dec 07
11;CONTEXT QUANTITY, 0-59;1-2;Integer;;1.0;In Service;03 Dec 07
12;CONTEXT QUANTITY, 1-9999;1-4;Integer;;1.0;In Service;03 Dec 07
13;CONTEXT QUANTITY, 0-9;1-1;Integer;;1.0;In Service;03 Dec 07
14;CONTEXT QUANTITY, 00-99;2-2;Integer;;1.0;In Service;03 Dec 07
16;CONTEXT QUANTITY, 1-59;1-2;Integer;;1.0;In Service;03 Dec 07
17;CONTEXT QUANTITY, 1-23;1-2;Integer;;1.0;In Service;03 Dec 07
18;CONTEXT QUANTITY, 0-3 DECIMAL PT PERMITTED;1-4;Instructive;;1.0;In Service;03 Dec 07
19;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;1-5;Instructive;THE RANGE FOR THIS FUD IS: [0 THROUGH 99999, 0 TO 4 DECIMAL PLACES].;1.0;In Service;03 Dec 07
20;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 3 CHAR MAX;1-3;Instructive;THE RANGE FOR THIS FUD IS: [0 THROUGH 999, 0 TO 2 DECIMAL PLACES].;1.0;In Service;03 Dec 07
21;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 8 CHAR MAX;1-8;Instructive;;1.0;In Service;03 Dec 07
22;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 11 CHAR MAX;1-11;Instructive;;1.0;In Service;03 Dec 07
23;CONTEXT QUANTITY, 1-999999;1-6;Integer;;1.0;In Service;03 Dec 07
24;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 12 CHAR MAX;1-12;Instructive;;1.0;In Service;03 Dec 07
25;CONTEXT QUANTITY, 1-9999999;1-7;Integer;;1.0;In Service;03 Dec 07
26;CONTEXT QUANTITY, 001-360;3-3;Integer;;1.0;In Service;03 Dec 07
27;CONTEXT QUANTITY, 1 DEC AND OR MINUS PERMITTED, 5 CHAR MAX;1-5;Instructive;;1.0;In Service;03 Dec 07
28;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 6 CHAR MAX;1-6;Instructive;;1.0;In Service;03 Dec 07
29;CONTEXT QUANTITY, 0.1 - 1.0, 1 DECIMAL PLACE;3-3;Decimal;THE RANGE FOR THIS FUD IS 0.1 THROUGH 1.0 WITH 1 DECIMAL PLACE.;1.0;In Service;03 Dec 07
30;CONTEXT QUANTITY, 1-99;1-2;Integer;;1.0;In Service;03 Dec 07
31;CONTEXT QUANTITY, 000-999;3-3;Integer;;1.0;In Service;03 Dec 07
32;CONTEXT QUANTITY, DECIMAL PT FOR TENTH PERM, 5 CHAR MAX;3-5;Instructive;;1.0;In Service;03 Dec 07
33;CONTEXT QUANTITY, 1 DECIMAL PLACE PERMITTED, 8 CHAR MAX;1-8;Decimal;;1.0;In Service;03 Dec 07
34;CONTEXT QUANTITY, 0-99;1-2;Integer;;1.0;In Service;03 Dec 07
36;CONTEXT QUANTITY, 00000-99999;5-5;Integer;;1.0;In Service;03 Dec 07
37;CONTEXT QUANTITY, 1-180;1-3;Integer;;1.0;In Service;03 Dec 07
38;CONTEXT QUANTITY, 0-100, 1 DECIMAL PT PERMITTED;1-5;Decimal;;1.0;In Service;03 Dec 07
39;CONTEXT QUANTITY, 0 TO 9999, 0-1 DECIMAL PT PERMITTED;1-4;Instructive;;1.0;In Service;03 Dec 07
40;CONTEXT QUANTITY, 0-359;1-3;Integer;;1.0;In Service;03 Dec 07
41;CONTEXT QUANTITY, 1-10000;1-5;Integer;;1.0;In Service;03 Dec 07
42;CONTEXT QUANTITY, -99 TO 999;3-3;Integer;;1.0;In Service;03 Dec 07
43;CONTEXT QUANTITY, 000-360;3-3;Integer;;1.0;In Service;03 Dec 07
44;CONTEXT QUANTITY, 1-99999;1-5;Integer;;1.0;In Service;03 Dec 07
45;CONTEXT QUANTITY, 001-999;3-3;Integer;;1.0;In Service;03 Dec 07
46;CONTEXT QUANTITY, 01-99;2-2;Integer;;1.0;In Service;03 Dec 07
47;CONTEXT QUANTITY, 1-9999, DECIMAL PT PERMITTED;1-6;Decimal;;1.0;In Service;03 Dec 07
48;CONTEXT QUANTITY, 0-99.99;1-5;Decimal;;1.0;In Service;03 Dec 07
49;CONTEXT QUANTITY, 0 TO 1 DECIMAL PT PERMITTED, 5 CHAR MAX;1-5;Instructive;;1.0;In Service;03 Dec 07
50;CONTEXT QUANTITY, 00-999;2-3;Instructive;;1.0;In Service;03 Dec 07
51;CONTEXT QUANTITY, 0.000 THROUGH 9999.999 (3 DECIMAL PLACES);5-8;Decimal;;1.0;In Service;03 Dec 07
81;CONTEXT QUANTITY, 0.1 TO 99999, 0-1 DECIMAL PT PERMITTED;1-5;Instructive;;1.0;In Service;03 Dec 07
84;CONTEXT QUANTITY, 50-999;2-3;Integer;;1.0;In Service;03 Dec 07
86;CONTEXT QUANTITY, 0-6;1-1;Integer;;1.0;In Service;03 Dec 07
87;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 7 CHARACTERS MAX;1-7;Instructive;;1.0;In Service;03 Dec 07
88;CONTEXT QUANTITY, 0 TO 7 DECIMAL PLACES PERMITTED;1-9;Instructive;;1.0;In Service;03 Dec 07
89;CONTEXT QUANTITY, 0 TO 6 DECIMAL PLACES PERMITTED;1-8;Instructive;;1.0;In Service;03 Dec 07
90;CONTEXT QUANTITY, 1.00 - 9.99;4-4;Decimal;;1.0;In Service;03 Dec 07
91;CONTEXT QUANTITY, 0.00 TO 9999.99;4-7;Decimal;THE AREA AVAILABLE FOR SPARE PARKING EXPRESSED IN SQUARE FEET OR SQUARE METRES.;1.0;In Service;03 Dec 07
92;CONTEXT QUANTITY, -9999.99 TO 99999.99;1-8;Decimal;;1.0;In Service;03 Dec 07
