FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;TERRAIN TYPE;3-13;Individual;;1.0;In Service;03 Dec 07
2;SHORE BEACH COMPOSITION;3-8;Individual;;1.0;In Service;03 Dec 07
3;BEACH OR ACCESS TRAFFICABILITY;3-5;Individual;;1.0;In Service;03 Dec 07
4;TYPE OF MAJOR SURFACE;4-6;Individual;THE SURFACE MATERIAL COMPOSITION OF THE TERRAIN.;1.0;In Service;03 Dec 07
5;TERRAIN TOPOGRAPHY DESCRIPTION;3-6;Individual;AN INDICATOR OF APPLICABLE TERRAIN CHARACTERISTICS.;1.0;In Service;03 Dec 07
7;EARTH COMPOSITION TYPE;3-8;Individual;A DESCRIPTION OF THE COMPOSITION OF THE EARTH FOUND AT THE SITE.;1.0;In Service;03 Dec 07
