Structure;1-1;1-1;1-1;1-1
FFIRN/FUDN;1459/1;1460/1;1475/1;1476/1
FUD Name;MISSION MODE OF OPERATION;MISSION EMCON;MISSION ASSIGNMENT;MISSION SENSOR ACTIVE PASSIVE INDICATOR
