Structure;3-5;1-1;4-8;
FFIRN/FUDN;1128/18;1025/4;1128/2;
FUD Name;PHONETIC NUMERIC IDENTIFIER ONE TO NINE;BLANK SPACE CHARACTER;PHONETIC ALPHABETIC IDENTIFIER;
