Structure;1-2;1-1;1-2;1-1;1-2;;;
FFIRN/FUDN;1657/13;1025/2;1658/14;1025/2;1651/17;;;
FUD Name;CARGO LENGTH IN METRES;HYPHEN;CARGO WIDTH IN METRES;HYPHEN;CARGO HEIGHT IN METRES;;;
