Structure;3-7;2-2;2-2;2-2;1-1;;;
FFIRN/FUDN;1220/3;1000/1;1001/1;1002/1;1003/1;;;
FUD Name;TIME QUALIFIER OFF;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;;;
