Structure;2-3;3-3;1-1;2-3;3-3;;;
FFIRN/FUDN;1130/23;1255/1;1025/2;1130/23;1255/1;;;
FUD Name;AIR SPACE BAND DATA QUALIFIER;ALTITUDE IN HUNDREDS OF FEET;HYPHEN;AIR SPACE BAND DATA QUALIFIER;ALTITUDE IN HUNDREDS OF FEET;;;
