Structure;1-1;3-3;2-2;
FFIRN/FUDN;1634/2;1012/198;1635/1;
FUD Name;IJMS TIME SLOT SET IDENTIFIER;TIME SLOT INDEX;TIME SLOT RECURRENCE RATE;
